ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	kingdom	phylum	class	order	family	genus	species
126634		126634	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126634	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	pyriforme
126635		126635	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126635	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	astrum
126636		126636	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126636	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	tortum
126637		126637	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126637	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	cylindriforme
126638		126638	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126638	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	contortum
126639		126639	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126639	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	coenocyticum
126640		126640	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126640	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	entosphaericum
126644		126644	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126644	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	cryptogynum
127932		127932	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=127932	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	medicaginis
127933		127933	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=127933	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	trifolii
